Products,Products
"Popular suggestions","Popular suggestions"
"Show all %1 results →","Show all %1 results →"
"Sorry, nothing found for ""%1"".","Sorry, nothing found for ""%1""."
"Searchable content","Searchable content"
Index,Index
"Is Enabled","Is Enabled"
"Max Number of results","Max Number of results"
"Hot Searches","Hot Searches"
"recent searches","recent searches"
"Search Autocomplete","Search Autocomplete"
"General Configuration","General Configuration"
"Minimum number of characters to search","Minimum number of characters to search"
"The delay before start finding","The delay before start finding"
">In milliseconds, e.g. 500 means 0.5 of second",">In milliseconds, e.g. 500 means 0.5 of second"
"Fast Mode","Fast Mode"
"Disable not necessary observers and handlers","Disable not necessary observers and handlers"
"Products Settings","Products Settings"
"Show Price","Show Price"
"Show Thumbnail","Show Thumbnail"
"Show Rating","Show Rating"
"Show Description","Show Description"
"Show SKU","Show SKU"
Appearance,Appearance
"Additional CSS Styles","Additional CSS Styles"
"Show Hot Searches","Show Hot Searches"
"Search queries","Search queries"
"Comma separated search queries. Leave empty for show most popular queries.","Comma separated search queries. Leave empty for show most popular queries."
"Ignored words","Ignored words"
"Comma separated words. Ignore query, if search query contains any of these word.","Comma separated words. Ignore query, if search query contains any of these word."
"Max Number of queries","Max Number of queries"
Dictionary successfully processed.
